MAS: Financial Database - Exchange Rates

Exchange Rates (Daily)
Jan 2013 to Apr 2026


End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Australian Dollar,S$ Per 100 Units of Canadian Dollar,S$ Per 100 Units of Chinese Renminbi,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Indian Rupee,S$ Per 100 Units of Indonesian Rupiah,S$ Per 100 Units of Japanese Yen,S$ Per 100 Units of Korean Won,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of New Taiwan Dollar,S$ Per 100 Units of New Zealand Dollar,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Qatar Riyal,S$ Per 100 Units of Saudi Arabia Riyal,S$ Per 100 Units of Swiss Franc,S$ Per 100 Units of Thai Baht,S$ Per 100 Units of UAE Dirham,S$ Per 100 Units of Vietnamese Dong
,,22,1.4944,1.7864,1.3583,100.51,108.00,21.34,17.35,1.7783,0.009463,1.1327,0.1112,32.24,4.7543,93.52,2.5912,37.16,36.21,145.24,4.0390,36.98,0.005939
,,23,1.4960,1.8024,1.3568,101.17,107.86,21.30,17.34,1.7835,0.009453,1.1206,0.1120,32.15,4.7549,94.39,2.5909,37.04,36.17,145.26,4.0530,36.94,0.005930
,,24,1.4917,1.7915,1.3580,101.57,107.97,21.31,17.35,1.7773,0.009458,1.1202,0.1114,32.13,4.7436,94.49,2.5931,37.07,36.20,145.73,4.0391,36.97,0.005939
,,25,1.4958,1.7915,1.3565,102.01,108.26,21.32,17.34,1.7798,0.009458,1.1155,0.1113,32.13,4.7377,94.59,2.5976,37.16,36.16,146.25,4.0431,36.93,0.005932
,,28,1.4906,1.7896,1.3606,102.37,108.93,21.34,17.38,1.7820,0.009476,1.1054,0.1110,32.29,4.7263,94.57,2.6032,37.14,36.27,145.72,4.0396,37.04,0.005950
,,29,1.4958,1.7820,1.3609,101.82,108.72,21.36,17.38,1.7919,0.009474,1.1044,0.1116,32.23,4.7290,93.89,2.6140,37.34,36.28,145.89,4.0339,37.05,0.005950
,,30,1.5057,1.7754,1.3546,101.84,108.43,21.30,17.31,1.7902,0.009439,1.1134,0.1122,32.21,4.7458,94.27,2.6079,37.17,36.10,145.89,4.0513,36.88,0.005924
,,31,1.5108,1.7751,1.3534,101.31,108.13,21.32,17.29,1.7872,0.009426,1.1062,0.1117,32.19,4.7277,94.15,2.6054,37.04,36.07,146.38,4.0562,36.85,0.005927
,Apr,01,1.5010,1.7817,1.3566,101.56,108.59,21.36,17.32,1.7864,0.009446,1.1065,0.1115,32.23,4.7242,93.98,2.6277,37.13,36.16,146.69,4.0646,36.93,0.005939
,,04,1.4993,1.7800,1.3572,101.98,108.48,21.33,17.32,1.7902,0.009448,1.1058,0.1114,32.17,4.7339,94.15,2.6375,37.20,36.18,146.49,4.0536,36.95,0.005941
,,05,1.4886,1.7792,1.3567,102.28,108.64,21.32,17.32,1.7981,0.009454,1.1072,0.1119,32.17,4.7374,94.24,2.6492,37.10,36.16,146.51,4.0558,36.94,0.005936
,,06,1.4832,1.7786,1.3606,103.04,108.84,21.37,17.36,1.8035,0.009473,1.0994,0.1117,32.26,4.7278,94.46,2.6466,37.23,36.27,146.20,4.0536,37.04,0.005949
,,07,1.4836,1.7790,1.3602,101.75,108.31,21.38,17.35,1.7924,0.009471,1.0995,0.1116,32.24,4.7237,93.82,2.6480,37.22,36.26,145.84,4.0589,37.03,0.005948
,,08,1.4809,1.7816,1.3632,101.92,108.30,21.43,17.39,1.7946,0.009490,1.0998,0.1113,32.30,4.7169,93.78,2.6477,37.30,36.34,145.82,4.0600,37.11,0.005962
,,11,1.4864,1.7774,1.3658,101.57,108.33,21.43,17.42,1.7987,0.009506,1.0937,0.1108,32.31,4.7087,93.23,2.6264,37.47,36.42,145.90,4.0575,37.18,0.005974
,,12,1.4848,1.7781,1.3653,101.36,107.97,21.43,17.42,1.7970,0.009503,1.0887,0.1103,32.25,4.6811,93.19,2.6189,37.31,36.41,146.58,4.0530,37.17,0.005967
,,13,1.4779,1.7744,1.3637,101.78,108.08,21.42,17.40,1.7917,0.009496,1.0865,0.1113,32.26,4.7050,93.37,2.6264,37.31,36.36,146.28,4.0724,37.13,0.005957
,,14,1.4756,1.7770,1.3529,100.92,107.77,21.25,17.26,1.7767,0.009427,1.0803,0.1105,31.99,4.6673,92.29,2.5961,37.02,36.08,145.02,4.0287,36.83,0.005909
,,18,1.4671,1.7708,1.3594,100.03,107.56,21.33,17.33,1.7789,0.009469,1.0731,0.1102,32.00,4.6519,91.47,2.6022,37.24,36.25,144.03,4.0392,37.01,0.005932
,,19,1.4705,1.7745,1.3642,100.51,108.43,21.41,17.39,1.7877,0.009512,1.0668,0.1105,32.06,4.6681,91.92,2.6044,37.32,36.38,144.36,4.0499,37.14,0.005948
,,20,1.4768,1.7802,1.3651,101.18,108.45,21.34,17.40,1.7882,0.009516,1.0632,0.1105,32.00,4.6643,92.20,2.6034,37.45,36.40,143.54,4.0422,37.16,0.005941
,,21,1.4792,1.7817,1.3658,101.43,109.31,21.19,17.41,1.7885,0.009517,1.0644,0.1103,31.86,4.6718,92.60,2.6049,37.40,36.42,143.66,4.0371,37.18,0.005947
,,22,1.4789,1.7761,1.3642,100.21,108.26,21.09,17.39,1.7883,0.009499,1.0618,0.1097,31.67,4.6590,91.42,2.6055,37.35,36.37,143.00,4.0199,37.14,0.005939
,,25,1.4816,1.7597,1.3741,98.74,107.92,21.01,17.51,1.7935,0.009521,1.0704,0.1101,31.61,4.6801,90.72,2.6216,37.51,36.64,143.59,4.0421,37.41,0.005980
,,26,1.4721,1.7511,1.3716,98.97,108.07,20.99,17.48,1.7933,0.009520,1.0714,0.1099,31.54,4.6871,91.00,2.6245,37.54,36.57,143.08,4.0204,37.34,0.005969
,,27,1.4652,1.7322,1.3770,98.63,107.62,21.00,17.55,1.7953,0.009555,1.0781,0.1091,31.61,4.6859,90.37,2.6358,37.75,36.71,142.96,4.0068,37.49,0.005993
,,28,1.4552,1.7323,1.3846,98.22,107.82,21.02,17.64,1.8059,0.009563,1.0676,0.1089,31.74,4.6928,89.97,2.6552,37.87,36.91,142.54,4.0196,37.69,0.006031
,,29,1.4555,1.7284,1.3848,98.69,108.37,20.84,17.65,1.8076,0.009552,1.0599,0.1094,31.77,4.6960,90.04,2.6459,37.94,36.92,142.52,4.0249,37.70,0.006030
,May,04,1.4554,1.7276,1.3841,98.42,107.88,20.94,17.63,1.8111,0.009547,1.0635,0.1096,31.79,4.6892,89.17,2.6382,37.86,36.90,141.27,4.0316,37.68,0.006024
,,05,1.4582,1.7278,1.3735,99.49,107.98,20.79,17.50,1.8041,0.009474,1.0638,0.1097,31.67,4.6599,89.89,2.6241,37.61,36.61,141.20,4.0295,37.39,0.005982
,,06,1.4591,1.7135,1.3853,98.52,107.94,20.76,17.65,1.8064,0.009556,1.0607,0.1088,31.68,4.6632,89.03,2.6395,37.95,36.93,140.47,4.0311,37.72,0.006034
,,09,1.4619,1.7097,1.3910,97.54,107.48,20.74,17.72,1.7977,0.009578,1.0621,0.1091,31.76,4.6714,88.36,2.6440,37.97,37.09,140.31,4.0313,37.87,0.006059
,,10,1.4686,1.7170,1.3884,96.76,106.85,20.70,17.69,1.7972,0.009554,1.0659,0.1090,31.72,4.6732,87.96,2.6521,37.99,37.01,140.02,4.0174,37.80,0.006049
,,11,1.4634,1.7126,1.3889,96.66,106.77,20.67,17.69,1.7983,0.009551,1.0651,0.1089,31.68,4.6785,87.59,2.6577,38.01,37.03,139.50,4.0053,37.81,0.006029
,,12,1.4639,1.7013,1.3913,96.31,107.04,20.61,17.72,1.7937,0.009541,1.0717,0.1080,31.72,4.6647,87.15,2.6549,38.09,37.09,139.79,4.0055,37.88,0.006027
,,13,1.4493,1.7040,1.3948,95.97,107.26,20.54,17.77,1.8039,0.009542,1.0806,0.1087,31.72,4.6808,87.17,2.6605,38.17,37.18,139.12,4.0131,37.97,0.006040
,,17,1.4521,1.7156,1.3908,97.31,108.35,20.51,17.72,1.7892,0.009488,1.0752,0.1088,31.64,4.6762,87.99,2.6506,38.14,37.08,138.78,4.0097,37.86,0.006015
,,18,1.4616,1.7304,1.3877,97.18,108.11,20.56,17.68,1.7905,0.009451,1.0746,0.1091,31.58,4.6721,88.06,2.6459,38.00,36.99,139.55,4.0059,37.78,0.005999
,,19,1.4563,1.7175,1.3870,97.24,108.14,20.52,17.67,1.7856,0.009414,1.0771,0.1090,31.51,4.6612,87.88,2.6486,38.02,36.97,140.70,4.0074,37.76,0.005989
,,20,1.4591,1.7189,1.3811,96.76,107.62,20.53,17.60,1.7811,0.009410,1.0822,0.1085,31.41,4.6555,87.94,2.6368,37.81,36.82,142.26,4.0048,37.60,0.005965
,,23,1.4567,1.7250,1.3752,97.49,107.44,20.58,17.52,1.7705,0.009378,1.0796,0.1083,31.34,4.6355,88.76,2.6294,37.62,36.66,141.51,4.0052,37.44,0.005935
,,24,1.4667,1.7268,1.3743,97.41,107.35,20.64,17.51,1.7719,0.009382,1.0754,0.1088,31.30,4.6467,88.52,2.6296,37.57,36.64,142.19,4.0183,37.41,0.005926
,,25,1.4705,1.7205,1.3726,97.65,107.12,20.58,17.49,1.7710,0.009371,1.0799,0.1088,31.25,4.6395,89.28,2.6224,37.53,36.59,142.61,4.0145,37.37,0.005915
,,26,1.4709,1.7300,1.3745,97.48,107.19,20.46,17.51,1.7730,0.009393,1.0786,0.1086,31.26,4.6617,89.00,2.6230,37.63,36.64,142.96,4.0118,37.42,0.005924
,,27,1.4739,1.7334,1.3705,97.84,107.43,20.34,17.46,1.7657,0.009401,1.0808,0.1092,31.27,4.6741,89.31,2.6207,37.43,36.53,143.08,4.0113,37.31,0.005908
,,30,1.4690,1.7288,1.3672,98.11,107.59,20.54,17.42,1.7643,0.009402,1.0767,0.1097,31.28,4.6938,89.55,2.6166,37.35,36.45,142.92,4.0110,37.22,0.005896
,,31,1.4724,1.7279,1.3697,98.43,108.06,20.55,17.45,1.7639,0.009383,1.0694,0.1107,31.30,4.7114,89.56,2.6130,37.52,36.52,142.76,4.0072,37.29,0.005907
,Jun,01,1.4711,1.7286,1.3725,98.55,108.49,20.52,17.49,1.7691,0.009413,1.0627,0.1102,31.28,4.7029,89.27,2.6168,37.58,36.59,142.86,3.9961,37.37,0.005915
,,02,1.4667,1.7179,1.3766,98.65,108.66,20.55,17.54,1.7739,0.009468,1.0581,0.1100,31.34,4.6833,89.17,2.6226,37.71,36.70,142.88,3.9999,37.48,0.005931
,,03,1.4742,1.7235,1.3710,99.50,109.05,20.58,17.48,1.7696,0.009499,1.0558,0.1106,31.26,4.6960,89.87,2.5985,37.53,36.55,143.15,4.0063,37.32,0.005912
,,06,1.4749,1.7184,1.3753,98.91,109.29,20.66,17.53,1.7711,0.009507,1.0539,0.1097,31.34,4.6757,89.40,2.6018,37.55,36.67,143.04,3.9997,37.44,0.005930
,,07,1.4729,1.7246,1.3790,98.92,109.49,20.69,17.58,1.7745,0.009537,1.0400,0.1097,31.36,4.6709,89.20,2.6055,37.68,36.76,141.95,4.0010,37.54,0.005946
,,08,1.4691,1.7281,1.3751,99.02,109.58,20.60,17.52,1.7698,0.009498,1.0335,0.1094,31.30,4.6598,88.83,2.5993,37.67,36.66,141.07,3.9857,37.44,0.005930
,,09,1.4761,1.7254,1.3758,98.79,109.54,20.61,17.53,1.7695,0.009452,1.0269,0.1096,31.32,4.6580,88.74,2.5988,37.69,36.67,140.78,3.9877,37.46,0.005933
,,10,1.4686,1.7256,1.3810,98.06,108.74,20.64,17.59,1.7744,0.009478,1.0299,0.1090,31.39,4.6676,88.37,2.6081,37.73,36.82,141.04,3.9843,37.60,0.005959
,,13,1.4589,1.7089,1.3907,97.68,108.54,20.64,17.72,1.7782,0.009483,1.0308,0.1080,31.50,4.6740,88.17,2.6113,38.00,37.07,140.59,3.9978,37.86,0.005994
,,14,1.4522,1.6958,1.3927,96.88,108.08,20.67,17.74,1.7846,0.009453,1.0349,0.1079,31.48,4.6818,87.33,2.6146,38.10,37.12,139.86,3.9847,37.92,0.005998
,,15,1.4535,1.6732,1.3919,96.14,107.45,20.71,17.73,1.7844,0.009436,1.0305,0.1077,31.50,4.6947,86.77,2.6074,38.12,37.10,139.26,3.9705,37.89,0.005993
,,16,1.4492,1.6873,1.3878,97.34,107.68,20.71,17.68,1.7783,0.009420,1.0334,0.1080,31.55,4.6685,87.32,2.6011,37.83,36.99,139.47,3.9690,37.78,0.005973
,,17,1.4581,1.7031,1.3859,97.25,106.91,20.67,17.65,1.7753,0.009348,1.0326,0.1076,31.48,4.6580,87.76,2.5918,38.06,36.94,142.77,3.9322,37.73,0.005966
,,20,1.4590,1.6975,1.3859,96.38,106.56,20.76,17.65,1.7786,0.009341,1.0277,0.1076,31.49,4.6633,87.66,2.5671,38.05,36.93,143.43,3.9309,37.73,0.005964
,,21,1.4592,1.7013,1.3855,96.68,107.04,20.73,17.65,1.7758,0.009365,1.0264,0.1075,31.49,4.6659,87.93,2.5529,37.93,36.92,143.32,3.9154,37.72,0.005965
,,22,1.4587,1.6992,1.3878,96.10,107.04,20.66,17.68,1.7751,0.009343,1.0189,0.1071,31.53,4.6580,87.03,2.5461,37.88,36.98,143.54,3.9119,37.78,0.005971
,,23,1.4673,1.7018,1.3884,95.69,107.09,20.69,17.69,1.7742,0.009355,1.0257,0.1066,31.51,4.6555,86.91,2.5479,38.01,37.00,144.42,3.9186,37.80,0.005973
,,24,1.4625,1.7045,1.3887,95.86,106.95,20.74,17.69,1.7751,0.009353,1.0310,0.1069,31.52,4.6680,87.38,2.5315,38.01,37.01,144.47,3.9045,37.81,0.005972
,,27,1.4627,1.7008,1.3858,95.89,107.64,20.72,17.66,1.7697,0.009360,1.0277,0.1080,31.45,4.6795,87.39,2.5134,37.79,36.92,144.70,3.9107,37.73,0.005960
,,28,1.4661,1.7007,1.3855,96.01,107.70,20.69,17.66,1.7637,0.009338,1.0239,0.1078,31.50,4.6694,87.30,2.5268,37.89,36.91,144.94,3.9198,37.72,0.005959
,,29,1.4611,1.6935,1.3876,95.82,107.83,20.70,17.68,1.7576,0.009348,1.0189,0.1073,31.54,4.6763,86.74,2.5233,37.97,36.97,145.08,3.9576,37.78,0.005965
,,30,1.4547,1.6878,1.3918,95.90,107.98,20.79,17.74,1.7630,0.009355,1.0187,0.1072,31.59,4.6766,86.55,2.5397,37.89,37.09,145.86,3.9410,37.89,0.005977
,Jul,01,1.4561,1.6887,1.3929,95.16,107.88,20.77,17.75,1.7610,0.009307,1.0308,0.1073,31.59,4.6671,86.13,2.5224,38.04,37.12,145.63,3.9152,37.92,0.005983
,,04,1.4568,1.6891,1.3973,95.08,108.34,20.88,17.81,1.7683,0.009341,1.0337,0.1077,31.67,4.6902,86.65,2.5380,38.15,37.24,145.66,3.9178,38.04,0.005979
,,05,1.4570,1.6913,1.3964,96.01,108.57,20.86,17.80,1.7666,0.009318,1.0258,0.1074,31.61,4.6862,86.71,2.5350,38.21,37.21,145.35,3.9119,38.02,0.005976
,,06,1.4411,1.6788,1.4040,95.55,107.69,20.94,17.89,1.7720,0.009344,1.0372,0.1075,31.73,4.7056,86.58,2.5262,38.44,37.40,144.99,3.8993,38.22,0.006007
,,07,1.4300,1.6745,1.4015,95.52,107.66,20.91,17.86,1.7740,0.009353,1.0325,0.1078,31.66,4.7032,86.62,2.5098,38.32,37.33,144.63,3.8757,38.15,0.005994
,,08,1.4236,1.6851,1.4017,95.71,107.68,20.90,17.86,1.7690,0.009355,1.0339,0.1077,31.67,4.7049,86.48,2.5025,38.16,37.34,143.97,3.8881,38.16,0.006003
,,12,1.4105,1.6709,1.4068,94.71,108.07,20.90,17.92,1.7679,0.009382,1.0248,0.1071,31.71,4.7022,86.03,2.4982,38.31,37.47,143.12,3.8753,38.30,0.006016
,,13,1.4114,1.6744,1.4062,95.22,108.09,20.91,17.91,1.7667,0.009382,1.0255,0.1078,31.73,4.7035,86.19,2.4963,38.33,37.46,143.18,3.8839,38.28,0.006012
,,14,1.4003,1.6569,1.3956,94.62,107.55,20.75,17.78,1.7497,0.009307,1.0112,0.1067,31.42,4.6726,85.54,2.4857,38.02,37.18,142.19,3.8483,38.00,0.005964
,,15,1.4074,1.6606,1.4038,94.64,107.10,20.75,17.88,1.7560,0.009362,1.0097,0.1061,31.55,4.6845,86.05,2.4912,38.29,37.39,142.81,3.8240,38.22,0.005989
,,18,1.4119,1.6626,1.3974,95.15,107.54,20.71,17.80,1.7514,0.009323,1.0101,0.1063,31.41,4.6701,86.29,2.4787,38.00,37.21,143.23,3.8195,38.04,0.005963
,,19,1.4151,1.6684,1.3971,95.54,107.70,20.70,17.80,1.7473,0.009317,1.0122,0.1063,31.35,4.6669,86.18,2.4792,37.96,37.21,142.88,3.8067,38.03,0.005961
,,20,1.4251,1.6731,1.3913,96.21,108.17,20.62,17.72,1.7402,0.009284,1.0074,0.1063,31.27,4.6533,87.13,2.4700,37.83,37.05,143.66,3.7945,37.88,0.005937
,,21,1.4215,1.6681,1.3924,95.95,108.13,20.58,17.74,1.7400,0.009269,1.0069,0.1060,31.24,4.6492,86.65,2.4718,38.07,37.05,143.45,3.7861,37.91,0.005948
,,22,1.4177,1.6644,1.3912,96.16,107.97,20.56,17.72,1.7412,0.009260,1.0106,0.1060,31.24,4.6497,86.60,2.4694,38.04,37.02,143.67,3.7747,37.87,0.005944
,,25,1.4167,1.6637,1.3880,95.87,107.37,20.54,17.68,1.7387,0.009257,1.0186,0.1060,31.15,4.6435,86.52,2.4681,37.82,36.93,144.08,3.7767,37.79,0.005933
,,26,1.4180,1.6727,1.3861,96.48,107.97,20.52,17.66,1.7374,0.009249,1.0152,0.1058,31.10,4.6308,86.86,2.4891,37.74,36.89,143.78,3.7793,37.74,0.005930
,,27,1.4089,1.6738,1.3891,96.14,107.93,20.53,17.70,1.7391,0.009247,1.0142,0.1057,31.14,4.6340,86.53,2.4963,37.76,36.97,144.38,3.7659,37.82,0.005942
,,28,1.4107,1.6810,1.3819,96.67,107.72,20.48,17.61,1.7316,0.009234,1.0207,0.1060,31.02,4.6171,86.68,2.4787,37.62,36.79,144.15,3.7725,37.62,0.005914
,,29,1.4079,1.6805,1.3785,96.59,107.64,20.45,17.56,1.7369,0.009282,1.0349,0.1062,30.99,4.6016,87.00,2.4980,37.45,36.70,144.79,3.7996,37.53,0.005902
,Aug,01,1.4113,1.6815,1.3803,96.38,107.77,20.44,17.58,1.7446,0.009279,1.0410,0.1057,31.01,4.5964,86.84,2.4923,37.57,36.75,145.12,3.7992,37.58,0.005911
,,02,1.4143,1.6876,1.3769,96.59,107.14,20.34,17.54,1.7443,0.009255,1.0523,0.1054,30.90,4.5869,87.12,2.4862,37.40,36.66,144.91,3.8177,37.48,0.005895
,,03,1.4072,1.6828,1.3810,95.73,107.40,20.46,17.59,1.7536,0.009256,1.0414,0.1054,30.98,4.6032,86.45,2.4833,37.51,36.76,144.64,3.8153,37.60,0.005909
,,04,1.4034,1.6779,1.3809,96.03,107.49,20.44,17.59,1.7377,0.009248,1.0321,0.1053,31.00,4.5976,86.88,2.4774,37.51,36.73,143.66,3.8131,37.59,0.005897
,,05,1.4083,1.6706,1.3758,95.80,106.89,20.39,17.53,1.7404,0.009232,1.0325,0.1060,30.89,4.5892,86.53,2.4919,37.37,36.61,143.87,3.8597,37.46,0.005880
,,08,1.4075,1.6691,1.3819,95.73,106.85,20.43,17.60,1.7390,0.009257,1.0227,0.1059,30.98,4.6006,86.24,2.4860,37.65,36.78,143.73,3.8626,37.62,0.005908
,,10,1.4079,1.6653,1.3783,95.92,106.95,20.40,17.56,1.7332,0.009267,1.0214,0.1054,30.92,4.5905,86.71,2.4741,37.64,36.66,144.54,3.8946,37.52,0.005894
,,11,1.4110,1.6721,1.3716,96.98,107.28,20.35,17.48,1.7302,0.009271,1.0300,0.1054,30.84,4.5761,87.64,2.4746,37.30,36.48,145.29,3.8816,37.34,0.005865
,,12,1.4129,1.6694,1.3695,97.45,107.38,20.33,17.48,1.7191,0.009324,1.0275,0.1053,30.84,4.5682,88.41,2.4670,37.40,36.46,145.42,3.8910,37.28,0.005853
,,15,1.4069,1.6636,1.3724,97.52,107.32,20.30,17.52,1.7235,0.009315,1.0303,0.1052,30.82,4.5771,88.27,2.4571,37.33,36.55,145.67,3.8674,37.36,0.005864
,,16,1.4005,1.6607,1.3781,96.78,106.85,20.31,17.58,1.7331,0.009336,1.0334,0.1052,30.87,4.5924,87.70,2.4620,37.45,36.70,145.65,3.8924,37.52,0.005888
,,17,1.4034,1.6700,1.3795,96.57,107.34,20.35,17.60,1.7391,0.009341,1.0284,0.1053,30.89,4.5991,87.50,2.4706,37.48,36.74,145.27,3.8947,37.56,0.005894
,,18,1.4071,1.6650,1.3836,95.73,107.03,20.38,17.64,1.7369,0.009325,1.0243,0.1048,30.94,4.6106,86.73,2.4750,37.78,36.85,145.33,3.8913,37.67,0.005912
,,19,1.3980,1.6526,1.3869,95.90,107.04,20.37,17.68,1.7391,0.009332,1.0174,0.1045,30.97,4.6173,86.56,2.4790,37.74,36.93,144.63,3.8784,37.76,0.005927
,,22,1.3985,1.6476,1.3927,96.10,107.22,20.41,17.75,1.7435,0.009365,1.0148,0.1041,31.07,4.6278,86.40,2.4839,37.89,37.08,145.25,3.8799,37.92,0.005950
,,23,1.3890,1.6446,1.3971,96.38,107.24,20.40,17.80,1.7494,0.009375,1.0182,0.1042,31.13,4.6309,86.51,2.4861,38.01,37.20,144.94,3.8577,38.03,0.005968
,,24,1.3881,1.6477,1.3955,96.29,107.50,20.33,17.79,1.7473,0.009390,1.0200,0.1039,31.10,4.6115,86.32,2.4888,38.08,37.15,144.52,3.8554,37.99,0.005952
,,25,1.3897,1.6445,1.3916,96.68,107.48,20.31,17.74,1.7433,0.009384,1.0171,0.1041,31.07,4.6049,86.45,2.4825,37.85,37.02,144.32,3.8746,37.88,0.005938
,,26,1.3862,1.6440,1.3904,96.85,107.38,20.29,17.72,1.7408,0.009383,1.0173,0.1044,31.07,4.6034,86.27,2.4806,37.95,37.01,144.25,3.8766,37.85,0.005937
,,29,1.3883,1.6322,1.3990,95.95,107.13,20.23,17.82,1.7481,0.009399,1.0095,0.1036,31.17,4.6012,85.55,2.4888,38.03,37.24,144.36,3.8438,38.09,0.005975
,,30,1.3965,1.6345,1.3968,96.18,107.35,20.19,17.80,1.7492,0.009387,1.0079,0.1036,31.15,4.5866,85.84,2.4809,38.12,37.19,144.29,3.8314,38.03,0.005960
,,31,1.3996,1.6290,1.3950,95.97,106.69,20.24,17.78,1.7536,0.009389,1.0065,0.1039,31.17,4.5976,85.70,2.4834,37.97,37.14,143.38,3.8251,37.98,0.005944
,Sep,01,1.4035,1.6225,1.4011,95.33,106.42,20.29,17.85,1.7593,0.009412,1.0042,0.1035,31.26,4.5956,85.33,2.4842,38.06,37.27,143.00,3.8141,38.14,0.005972
,,02,1.3966,1.6190,1.4018,95.20,106.56,20.31,17.86,1.7595,0.009410,1.0002,0.1033,31.26,4.5857,85.03,2.4679,38.29,37.31,142.92,3.8065,38.16,0.005974
,,05,1.3925,1.6115,1.4046,95.44,106.81,20.27,17.90,1.7590,0.009416,1.0008,0.1025,31.30,4.5684,85.55,2.4663,38.24,37.36,142.94,3.8226,38.24,0.005975
,,06,1.3958,1.6230,1.4034,95.43,106.99,20.22,17.88,1.7580,0.009429,0.9982,0.1022,31.24,4.5591,85.67,2.4646,38.12,37.33,143.42,3.8453,38.21,0.005961
,,07,1.3943,1.6168,1.4103,94.56,106.88,20.21,17.97,1.7650,0.009446,0.9795,0.1017,31.31,4.5590,84.62,2.4637,38.38,37.53,143.00,3.8327,38.39,0.005976
,,08,1.4038,1.6165,1.4057,94.47,107.05,20.18,17.91,1.7630,0.009429,0.9761,0.1017,31.24,4.5473,84.94,2.4579,38.21,37.40,143.84,3.8548,38.27,0.005968
,,09,1.4089,1.6206,1.3992,95.47,107.34,20.16,17.83,1.7572,0.009419,0.9773,0.1017,31.12,4.5412,85.41,2.4606,38.01,37.23,144.96,3.8540,38.09,0.005941
,,12,1.4105,1.6244,1.3990,95.62,107.39,20.20,17.82,1.7565,0.009427,0.9787,0.1013,31.06,4.5268,85.41,2.4527,38.06,37.23,145.78,3.8350,38.09,0.005947
,,13,1.4144,1.6321,1.3963,95.92,107.52,20.17,17.79,1.7618,0.009391,0.9798,0.1014,30.98,4.5171,85.58,2.4552,38.12,37.15,146.65,3.8459,38.01,0.005931
,,14,1.4045,1.6178,1.4060,94.60,106.73,20.19,17.91,1.7674,0.009421,0.9737,0.1010,31.06,4.5198,84.29,2.4582,38.44,37.41,146.20,3.8314,38.28,0.005957
,,15,1.4024,1.6214,1.4061,95.04,106.77,20.18,17.92,1.7693,0.009444,0.9806,0.1007,31.02,4.5188,84.46,2.4651,38.21,37.40,146.04,3.8319,38.28,0.005958
,,16,1.4085,1.6150,1.4088,94.56,106.39,20.09,17.95,1.7650,0.009434,0.9826,0.1009,31.06,4.5011,84.17,2.4560,38.46,37.50,146.48,3.8090,38.35,0.005955
,,19,1.4070,1.6045,1.4073,94.37,105.94,20.08,17.93,1.7663,0.009396,0.9829,0.1011,30.96,4.4817,84.04,2.4538,38.30,37.45,145.70,3.8152,38.31,0.005945
,,20,1.4108,1.6082,1.4066,94.68,106.17,20.07,17.92,1.7656,0.009395,0.9823,0.1013,30.89,4.4872,83.67,2.4513,38.42,37.41,145.84,3.8102,38.29,0.005941
,,21,1.4069,1.6061,1.4116,94.28,105.57,20.04,17.98,1.7688,0.009402,0.9814,0.1012,30.91,4.4935,83.21,2.4385,38.53,37.53,146.36,3.7981,38.43,0.005958
,,22,1.3950,1.5957,1.4207,93.63,105.14,20.04,18.10,1.7662,0.009454,0.9808,0.1008,31.09,4.4927,82.66,2.4326,38.88,37.76,147.03,3.8011,38.68,0.005992
,,23,1.3952,1.5951,1.4202,93.99,105.29,20.00,18.09,1.7503,0.009450,0.9985,0.1008,31.08,4.4797,82.77,2.4333,38.87,37.74,145.11,3.8007,38.66,0.005990
,,26,1.3833,1.5070,1.4356,93.33,105.30,20.03,18.29,1.7617,0.009495,0.9972,0.1004,31.22,4.4982,82.06,2.4360,39.15,38.15,145.74,3.7983,39.08,0.006050
,,27,1.3838,1.5467,1.4354,93.03,104.79,20.03,18.29,1.7641,0.009465,0.9939,0.1005,31.13,4.5096,81.48,2.4336,39.28,38.17,144.79,3.7807,39.08,0.006050
,,28,1.3831,1.5423,1.4471,92.60,105.08,20.03,18.44,1.7672,0.009500,1.0000,0.1005,31.33,4.5342,80.89,2.4527,39.40,38.47,145.46,3.7995,39.40,0.006095
,,29,1.3935,1.5525,1.4387,93.33,105.35,20.01,18.33,1.7613,0.009440,0.9962,0.1003,30.97,4.5201,81.82,2.4411,39.28,38.20,146.88,3.7750,39.17,0.006052
,,30,1.4053,1.5892,1.4340,92.99,104.55,20.16,18.27,1.7577,0.009411,0.9907,0.1002,30.90,4.5167,81.97,2.4433,39.14,38.15,146.86,3.7750,39.04,0.006007
,Oct,03,1.4079,1.5964,1.4359,92.32,104.32,20.18,18.29,1.7559,0.009394,0.9913,0.0995,30.88,4.4990,80.82,2.4357,39.09,38.20,145.73,3.7701,39.09,0.006007
,,04,1.4067,1.6176,1.4293,92.74,105.11,20.09,18.21,1.7529,0.009360,0.9875,0.0998,30.77,4.4969,81.72,2.4266,39.25,38.02,144.35,3.7931,38.91,0.005983
,,05,1.4196,1.6280,1.4240,92.50,105.25,20.01,18.14,1.7481,0.009366,0.9883,0.1002,30.70,4.5089,81.82,2.4254,39.10,37.88,145.31,3.8038,38.77,0.005967
